codes,stream,college,institute_type
MT004,1,1,1
MT009,1,1,1
MT003,1,1,1
MT001,1,1,1
MT002,1,1,1
MT005,1,1,1
VC014,2,2,1
VC012,1,2,1
VC002,2,3,1
VC001,1,3,1
VC011,2,4,1
VC010,1,4,1
VC004,2,5,1
VC005,3,5,1
VC003,1,5,1
VC016,2,6,1
VC015,1,6,1
VC007,2,7,1
VC006,1,7,1
VC009,2,8,1
VC008,1,8,1
MS004,3,9,1
MS007,3,9,1
MS006,3,9,1
MS005,3,9,1
US004,4,10,1
US003,4,10,1
US007,5,10,1
US008,5,10,1
US010,5,10,1
US011,5,10,1
US005,2,10,1
US021,6,10,1
US019,6,10,1
US017,6,10,1
US016,6,10,1
US015,6,10,1
US020,6,10,1
US018,6,10,1
US023,6,10,1
US022,6,10,1
US009,7,10,1
US001,1,10,1
US006,1,10,1
US002,8,10,1
SQ150,4,11,1
SQ780,5,11,1
SQ250,2,11,1
SQ350,6,11,1
SQ650,6,11,1
SQ550,6,11,1
SQ500,6,11,1
SQ600,6,11,1
SQ670,6,11,1
SQ660,6,11,1
SQ300,6,11,1
SQ001,3,11,1
SQ100,7,11,1
SQ050,7,11,1
SQ055,7,11,1
SQ800,9,11,1
SQ700,9,11,1
SQ255,9,11,1
SQ200,1,11,1
IS004,10,12,1
IS003,10,12,1
NN001,7,13,1
NH001,7,14,1
NR001,7,15,1
NU001,7,16,1
NS001,7,17,1
NI001,7,18,1
NA001,7,19,1
NM001,7,20,1
IH001,7,20,1
HM001,7,20,1
IH002,7,20,1
PI005,7,20,1
IH003,7,20,1
